auc,auc_hi,auc_lo,chunk_index,distance_nt,rho_off,rho_on,scorer,transform
0.3845355474831344,0.4426069295979557,0.3310812360293419,17,24480,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,18,25920,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,19,27360,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,20,28800,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,21,30240,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,22,31680,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,23,33120,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,24,34560,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,25,36000,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,26,37440,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,27,38880,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_mono
0.3845355474831344,0.4426069295979557,0.3310812360293419,0,0,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_dinuc
0.3845355474831344,0.4426069295979557,0.3310812360293419,1,1440,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_dinuc
0.3845355474831344,0.4426069295979557,0.3310812360293419,2,2880,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_dinuc
0.3845355474831344,0.4426069295979557,0.3310812360293419,3,4320,-0.00358770126004312,-0.21401449864527766,markov5,shuffle_dinuc
