assay,n_obs,seed,ridge,esm
A4GRB6_PSEAI_Chen_2020,24,0,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,1,0.527710843373494,4.527710843373494
A4GRB6_PSEAI_Chen_2020,24,2,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,3,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,4,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,5,-0.472289156626506,4.527710843373494
A4GRB6_PSEAI_Chen_2020,24,6,-0.472289156626506,4.527710843373494
A4GRB6_PSEAI_Chen_2020,24,7,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,8,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,9,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,10,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,11,2.527710843373494,4.527710843373494
A4GRB6_PSEAI_Chen_2020,24,12,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,13,1.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,14,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,15,-0.472289156626506,3.527710843373494
A4GRB6_PSEAI_Chen_2020,24,16,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,17,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,18,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,19,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,20,-0.472289156626506,4.527710843373494
A4GRB6_PSEAI_Chen_2020,24,21,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,22,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,23,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,24,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,25,-0.472289156626506,3.527710843373494
A4GRB6_PSEAI_Chen_2020,24,26,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,27,2.5180722891566267,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,28,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,29,0.5180722891566265,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,30,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,31,2.527710843373494,4.527710843373494
A4GRB6_PSEAI_Chen_2020,24,32,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,33,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,34,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,35,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,36,0.527710843373494,4.527710843373494
A4GRB6_PSEAI_Chen_2020,24,37,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,24,38,1.527710843373494,4.527710843373494
A4GRB6_PSEAI_Chen_2020,24,39,-0.4819277108433735,4.518072289156627
A4GRB6_PSEAI_Chen_2020,48,0,1.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,1,-0.4745762711864407,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,2,-0.48426150121065376,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,3,1.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,4,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,5,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,6,5.52542372881356,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,7,4.52542372881356,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,8,-0.48426150121065376,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,9,2.515738498789346,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,10,5.52542372881356,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,11,1.5254237288135593,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,12,2.5254237288135593,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,13,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,14,-0.48426150121065376,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,15,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,16,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,17,-0.48426150121065376,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,18,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,19,-0.4745762711864407,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,20,-0.4745762711864407,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,21,-0.4745762711864407,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,22,-0.4745762711864407,3.5254237288135593
A4GRB6_PSEAI_Chen_2020,48,23,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,24,0.5254237288135593,4.52542372881356
A4GRB6_PSEAI_Chen_2020,48,25,-0.48426150121065376,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,26,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,27,-0.48426150121065376,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,28,-0.48426150121065376,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,29,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,30,1.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,31,0.5157384987893463,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,48,32,1.5157384987893463,4.5157384987893465
